"132h -- Bruttokansantuote ja -tulo sekä tarjonta ja kysyntä neljännesvuosittain, 1990Q1-2024Q2"

"Vuosineljännes","Kausitasoitettu ja työpäiväkorjattu sarja käypiin hintoihin, miljoonaa euroa B1GMH Bruttokansantuote markkinahintaan","Kausitasoitettu ja työpäiväkorjattu sarja käypiin hintoihin, miljoonaa euroa P7R Tavaroiden ja palvelujen tuonti, tulona","Kausitasoitettu ja työpäiväkorjattu sarja käypiin hintoihin, miljoonaa euroa P71R Tavaroiden tuonti, tulona","Kausitasoitettu ja työpäiväkorjattu sarja käypiin hintoihin, miljoonaa euroa P72R Palvelujen tuonti, tulona","Kausitasoitettu ja työpäiväkorjattu sarja käypiin hintoihin, miljoonaa euroa P6K Tavaroiden ja palvelujen vienti, menona","Kausitasoitettu ja työpäiväkorjattu sarja käypiin hintoihin, miljoonaa euroa P61K Tavaroiden vienti, menona","Kausitasoitettu ja työpäiväkorjattu sarja käypiin hintoihin, miljoonaa euroa P62K Palvelujen vienti, menona","Kausitasoitettu ja työpäiväkorjattu sarja, viitevuosi 2015, miljoonaa euroa B1GMH Bruttokansantuote markkinahintaan","Kausitasoitettu ja työpäiväkorjattu sarja, viitevuosi 2015, miljoonaa euroa P7R Tavaroiden ja palvelujen tuonti, tulona","Kausitasoitettu ja työpäiväkorjattu sarja, viitevuosi 2015, miljoonaa euroa P71R Tavaroiden tuonti, tulona","Kausitasoitettu ja työpäiväkorjattu sarja, viitevuosi 2015, miljoonaa euroa P72R Palvelujen tuonti, tulona","Kausitasoitettu ja työpäiväkorjattu sarja, viitevuosi 2015, miljoonaa euroa P6K Tavaroiden ja palvelujen vienti, menona","Kausitasoitettu ja työpäiväkorjattu sarja, viitevuosi 2015, miljoonaa euroa P61K Tavaroiden vienti, menona","Kausitasoitettu ja työpäiväkorjattu sarja, viitevuosi 2015, miljoonaa euroa P62K Palvelujen vienti, menona"
"1990Q1",22884,5258,4102,1156,5014,4304,710,35966,7167,4895,2324,5511,4397,1155
"1990Q2",22841,5606,4384,1222,5161,4415,746,35471,7657,5324,2332,5835,4626,1276
"1990Q3",22667,5274,4019,1255,4904,4144,760,34711,7011,4744,2344,5537,4276,1404
"1990Q4",22567,5415,4076,1339,5065,4256,809,34512,6981,4720,2339,5712,4367,1524
"1991Q1",22035,4933,3647,1286,4525,3882,643,33839,6490,4314,2292,5111,4057,1108
"1991Q2",21836,4631,3346,1285,4219,3544,675,33434,6065,3934,2296,4831,3778,1144
"1991Q3",21636,4885,3578,1307,4850,4128,722,32746,6293,4125,2314,5465,4342,1176
"1991Q4",21392,4859,3502,1357,4889,4138,751,32362,6128,3982,2309,5406,4270,1208
"1992Q1",21333,5195,3772,1423,5159,4378,781,32466,6378,4205,2309,5626,4429,1280
"1992Q2",21223,5311,3897,1414,5254,4420,834,32101,6461,4276,2314,5693,4472,1311
"1992Q3",21151,5084,3621,1463,5402,4494,908,31839,6095,3930,2341,5682,4434,1355
"1992Q4",21075,5349,3937,1412,5842,4869,973,31614,6218,4039,2342,5971,4667,1411
"1993Q1",21265,5900,4267,1633,6502,5466,1036,31688,6593,4276,2493,6522,5099,1540
"1993Q2",21325,5555,3985,1570,6490,5429,1061,31627,6178,3895,2505,6470,5034,1565
"1993Q3",21468,5786,4170,1616,6840,5777,1063,31808,6379,4059,2531,6794,5350,1545
"1993Q4",21650,5715,4136,1579,7064,5986,1078,32048,6344,4040,2512,7014,5523,1594
"1994Q1",21769,5645,4116,1529,7185,6063,1122,32261,6438,4134,2495,7048,5534,1627
"1994Q2",22230,6306,4736,1570,7589,6410,1179,32541,7073,4697,2494,7489,5872,1741
"1994Q3",22992,6611,4996,1615,7980,6729,1251,33284,7339,4903,2540,7793,6053,1903
