"132h -- Bruttokansantuote ja -tulo sekä tarjonta ja kysyntä neljännesvuosittain, 1990Q1-2024Q2"

"Vuosineljännes","B1GMH Bruttokansantuote markkinahintaan Kausitasoitettu ja työpäiväkorjattu sarja käypiin hintoihin, miljoonaa euroa","B1GMH Bruttokansantuote markkinahintaan Alkuperäinen sarja käypiin hintoihin, miljoonaa euroa","B1GMH Bruttokansantuote markkinahintaan Kausitasoitettu ja työpäiväkorjattu sarja, viitevuosi 2015, miljoonaa euroa","B1GMH Bruttokansantuote markkinahintaan Alkuperäinen sarja, viitevuosi 2015, miljoonaa euroa","P7R Tavaroiden ja palvelujen tuonti, tulona Kausitasoitettu ja työpäiväkorjattu sarja käypiin hintoihin, miljoonaa euroa","P7R Tavaroiden ja palvelujen tuonti, tulona Alkuperäinen sarja käypiin hintoihin, miljoonaa euroa","P7R Tavaroiden ja palvelujen tuonti, tulona Kausitasoitettu ja työpäiväkorjattu sarja, viitevuosi 2015, miljoonaa euroa","P7R Tavaroiden ja palvelujen tuonti, tulona Alkuperäinen sarja, viitevuosi 2015, miljoonaa euroa","P6K Tavaroiden ja palvelujen vienti, menona Kausitasoitettu ja työpäiväkorjattu sarja käypiin hintoihin, miljoonaa euroa","P6K Tavaroiden ja palvelujen vienti, menona Alkuperäinen sarja käypiin hintoihin, miljoonaa euroa","P6K Tavaroiden ja palvelujen vienti, menona Kausitasoitettu ja työpäiväkorjattu sarja, viitevuosi 2015, miljoonaa euroa","P6K Tavaroiden ja palvelujen vienti, menona Alkuperäinen sarja, viitevuosi 2015, miljoonaa euroa"
"1990Q1",22884,21610,35966,33876,5258,5167,7167,7087,5014,4859,5511,5403
"1990Q2",22841,22885,35471,35511,5606,5639,7657,7788,5161,5278,5835,5916
"1990Q3",22667,22547,34711,34754,5274,4975,7011,6657,4904,4721,5537,5306
"1990Q4",22567,23917,34512,36439,5415,5772,6981,7283,5065,5286,5712,5971
"1991Q1",22035,20815,33839,31977,4933,4870,6490,6437,4525,4385,5111,5035
"1991Q2",21836,21921,33434,33526,4631,4651,6065,6161,4219,4306,4831,4897
"1991Q3",21636,21578,32746,32787,4885,4623,6293,5999,4850,4685,5465,5228
"1991Q4",21392,22585,32362,34015,4859,5164,6128,6380,4889,5107,5406,5652
"1992Q1",21333,20296,32466,30842,5195,5138,6378,6333,5159,4992,5626,5564
"1992Q2",21223,21301,32101,32265,5311,5329,6461,6548,5254,5348,5693,5771
"1992Q3",21151,21047,31839,31741,5084,4813,6095,5810,5402,5228,5682,5429
"1992Q4",21075,22138,31614,33098,5349,5659,6218,6460,5842,6089,5971,6208
"1993Q1",21265,20254,31688,30092,5900,5836,6593,6551,6502,6300,6522,6412
"1993Q2",21325,21380,31627,31667,5555,5581,6178,6258,6490,6619,6470,6555
"1993Q3",21468,21354,31808,31737,5786,5495,6379,6090,6840,6614,6794,6515
"1993Q4",21650,22720,32048,33603,5715,6044,6344,6595,7064,7363,7014,7319
"1994Q1",21769,20683,32261,30535,5645,5552,6438,6378,7185,6944,7048,6846
"1994Q2",22230,22281,32541,32666,6306,6332,7073,7147,7589,7736,7489,7557
"1994Q3",22992,22837,33284,33157,6611,6265,7339,6980,7980,7715,7793,7521
"1994Q4",23758,24948,34122,35779,7204,7617,7910,8255,8133,8492,8032,8438
"1995Q1",24022,22885,33840,32135,6776,6658,7540,7457,8628,8310,8316,8020
"1995Q2",24804,24872,34749,34853,6991,7038,7745,7826,9049,9219,8605,8682
"1995Q3",24809,24598,34592,34363,7011,6673,7799,7435,8547,8269,7917,7678
"1995Q4",24914,26194,34609,36358,7120,7529,8031,8397,9022,9448,8182,8639
"1996Q1",25139,23992,35233,33534,7390,7256,8259,8156,8953,8593,8309,7983
"1996Q2",25302,25345,35511,35493,7387,7442,8150,8223,9474,9663,8892,8981
"1996Q3",25496,25246,35717,35415,7394,7050,8202,7824,9029,8755,8579,8317
"1996Q4",26146,27500,36386,38317,7844,8267,8754,9163,9620,10065,9141,9641
"1997Q1",26549,24931,36815,34314,7828,7675,8645,8521,9611,9220,9221,8864
