"132h -- Bruttokansantuote ja -tulo sekä tarjonta ja kysyntä neljännesvuosittain, 1990Q1-2024Q2"

"Vuosineljännes","Kausitasoitettu ja työpäiväkorjattu sarja käypiin hintoihin, miljoonaa euroa B1GMH Bruttokansantuote markkinahintaan","Kausitasoitettu ja työpäiväkorjattu sarja käypiin hintoihin, miljoonaa euroa P7R Tavaroiden ja palvelujen tuonti, tulona","Kausitasoitettu ja työpäiväkorjattu sarja käypiin hintoihin, miljoonaa euroa P71R Tavaroiden tuonti, tulona","Kausitasoitettu ja työpäiväkorjattu sarja käypiin hintoihin, miljoonaa euroa P72R Palvelujen tuonti, tulona","Kausitasoitettu ja työpäiväkorjattu sarja käypiin hintoihin, miljoonaa euroa P6K Tavaroiden ja palvelujen vienti, menona","Kausitasoitettu ja työpäiväkorjattu sarja käypiin hintoihin, miljoonaa euroa P61K Tavaroiden vienti, menona","Kausitasoitettu ja työpäiväkorjattu sarja käypiin hintoihin, miljoonaa euroa P62K Palvelujen vienti, menona","Kausitasoitettu ja työpäiväkorjattu sarja, viitevuosi 2015, miljoonaa euroa B1GMH Bruttokansantuote markkinahintaan","Kausitasoitettu ja työpäiväkorjattu sarja, viitevuosi 2015, miljoonaa euroa P7R Tavaroiden ja palvelujen tuonti, tulona","Kausitasoitettu ja työpäiväkorjattu sarja, viitevuosi 2015, miljoonaa euroa P71R Tavaroiden tuonti, tulona","Kausitasoitettu ja työpäiväkorjattu sarja, viitevuosi 2015, miljoonaa euroa P72R Palvelujen tuonti, tulona","Kausitasoitettu ja työpäiväkorjattu sarja, viitevuosi 2015, miljoonaa euroa P6K Tavaroiden ja palvelujen vienti, menona","Kausitasoitettu ja työpäiväkorjattu sarja, viitevuosi 2015, miljoonaa euroa P61K Tavaroiden vienti, menona","Kausitasoitettu ja työpäiväkorjattu sarja, viitevuosi 2015, miljoonaa euroa P62K Palvelujen vienti, menona"
"1990Q1",22885,5253,4099,1154,5018,4308,710,35958,7153,4894,2311,5508,4400,1147
"1990Q2",22839,5609,4388,1221,5165,4419,746,35474,7650,5325,2318,5834,4629,1270
"1990Q3",22668,5266,4011,1255,4895,4134,761,34699,6995,4744,2330,5527,4276,1398
"1990Q4",22572,5425,4083,1342,5066,4258,808,34510,6968,4723,2326,5702,4369,1519
"1991Q1",22040,4930,3645,1285,4528,3885,643,33840,6479,4314,2279,5107,4060,1102
"1991Q2",21841,4631,3347,1284,4224,3549,675,33428,6056,3936,2283,4825,3779,1139
"1991Q3",21638,4879,3572,1307,4841,4119,722,32741,6281,4125,2300,5456,4342,1170
"1991Q4",21394,4868,3509,1359,4890,4139,751,32362,6118,3983,2296,5401,4272,1204
"1992Q1",21337,5194,3771,1423,5165,4384,781,32457,6369,4206,2297,5623,4434,1274
"1992Q2",21223,5312,3899,1413,5260,4425,835,32100,6450,4277,2302,5687,4474,1305
"1992Q3",21149,5078,3614,1464,5391,4483,908,31832,6085,3930,2328,5673,4433,1349
"1992Q4",21077,5355,3943,1412,5841,4869,972,31597,6206,4040,2326,5963,4668,1404
"1993Q1",21243,5900,4266,1634,6509,5473,1036,31645,6582,4276,2480,6518,5104,1532
"1993Q2",21301,5554,3986,1568,6496,5435,1061,31576,6168,3897,2489,6464,5038,1557
"1993Q3",21446,5781,4164,1617,6827,5764,1063,31767,6367,4059,2516,6784,5349,1539
"1993Q4",21620,5721,4142,1579,7064,5986,1078,31997,6334,4041,2498,7005,5524,1588
"1994Q1",21743,5640,4111,1529,7194,6071,1123,32210,6429,4135,2483,7046,5540,1621
"1994Q2",22204,6307,4737,1570,7599,6419,1180,32492,7061,4698,2479,7481,5875,1733
"1994Q3",22966,6606,4991,1615,7964,6714,1250,33239,7326,4903,2526,7780,6052,1893
