"132h -- Bruttokansantuote ja -tulo sekä tarjonta ja kysyntä neljännesvuosittain, 1990Q1-2024Q2"

"Vuosineljännes","B1GMH Bruttokansantuote markkinahintaan Kausitasoitettu ja työpäiväkorjattu sarja käypiin hintoihin, miljoonaa euroa","B1GMH Bruttokansantuote markkinahintaan Alkuperäinen sarja käypiin hintoihin, miljoonaa euroa","B1GMH Bruttokansantuote markkinahintaan Kausitasoitettu ja työpäiväkorjattu sarja, viitevuosi 2015, miljoonaa euroa","B1GMH Bruttokansantuote markkinahintaan Alkuperäinen sarja, viitevuosi 2015, miljoonaa euroa","P7R Tavaroiden ja palvelujen tuonti, tulona Kausitasoitettu ja työpäiväkorjattu sarja käypiin hintoihin, miljoonaa euroa","P7R Tavaroiden ja palvelujen tuonti, tulona Alkuperäinen sarja käypiin hintoihin, miljoonaa euroa","P7R Tavaroiden ja palvelujen tuonti, tulona Kausitasoitettu ja työpäiväkorjattu sarja, viitevuosi 2015, miljoonaa euroa","P7R Tavaroiden ja palvelujen tuonti, tulona Alkuperäinen sarja, viitevuosi 2015, miljoonaa euroa","P6K Tavaroiden ja palvelujen vienti, menona Kausitasoitettu ja työpäiväkorjattu sarja käypiin hintoihin, miljoonaa euroa","P6K Tavaroiden ja palvelujen vienti, menona Alkuperäinen sarja käypiin hintoihin, miljoonaa euroa","P6K Tavaroiden ja palvelujen vienti, menona Kausitasoitettu ja työpäiväkorjattu sarja, viitevuosi 2015, miljoonaa euroa","P6K Tavaroiden ja palvelujen vienti, menona Alkuperäinen sarja, viitevuosi 2015, miljoonaa euroa"
"1990Q1",22885,21609,35958,33888,5253,5167,7153,7075,5018,4859,5508,5397
"1990Q2",22839,22889,35474,35532,5609,5639,7650,7775,5165,5278,5834,5909
"1990Q3",22668,22547,34699,34768,5266,4975,6995,6646,4895,4721,5527,5300
"1990Q4",22572,23919,34510,36453,5425,5772,6968,7271,5066,5286,5702,5964
"1991Q1",22040,20816,33840,31991,4930,4870,6479,6427,4528,4385,5107,5030
"1991Q2",21841,21925,33428,33540,4631,4651,6056,6150,4224,4306,4825,4892
"1991Q3",21638,21583,32741,32807,4879,4623,6281,5989,4841,4685,5456,5222
"1991Q4",21394,22589,32362,34033,4868,5164,6118,6369,4890,5107,5401,5645
"1992Q1",21337,20303,32457,30858,5194,5138,6369,6323,5165,4992,5623,5557
"1992Q2",21223,21304,32100,32282,5312,5329,6450,6537,5260,5348,5687,5764
"1992Q3",21149,21048,31832,31752,5078,4813,6085,5800,5391,5228,5673,5422
"1992Q4",21077,22131,31597,33095,5355,5659,6206,6449,5841,6089,5963,6203
"1993Q1",21243,20237,31645,30077,5900,5836,6582,6540,6509,6300,6518,6405
"1993Q2",21301,21356,31576,31641,5554,5581,6168,6248,6496,6619,6464,6548
"1993Q3",21446,21326,31767,31702,5781,5495,6367,6080,6827,6614,6784,6508
"1993Q4",21620,22691,31997,33568,5721,6044,6334,6583,7064,7363,7005,7310
"1994Q1",21743,20657,32210,30503,5640,5552,6429,6367,7194,6944,7046,6838
"1994Q2",22204,22255,32492,32635,6307,6332,7061,7135,7599,7736,7481,7549
"1994Q3",22966,22810,33239,33127,6606,6265,7326,6968,7964,7715,7780,7513
"1994Q4",23733,24924,34080,35756,7213,7617,7896,8241,8130,8492,8022,8429
"1995Q1",23999,22860,33794,32109,6772,6658,7527,7445,8636,8310,8309,8011
"1995Q2",24781,24851,34698,34832,6990,7038,7733,7812,9057,9219,8598,8673
"1995Q3",24785,24575,34548,34334,7006,6673,7786,7422,8532,8269,7906,7670
"1995Q4",24889,26168,34569,36334,7130,7529,8017,8384,9021,9448,8170,8629
"1996Q1",25087,23964,35182,33503,7385,7256,8245,8143,8961,8593,8304,7974
"1996Q2",25294,25317,35461,35465,7388,7442,8137,8209,9482,9663,8886,8971
"1996Q3",25457,25217,35648,35383,7390,7050,8187,7811,9015,8755,8567,8308
"1996Q4",26139,27479,36354,38297,7852,8267,8740,9147,9618,10065,9126,9630
"1997Q1",26551,24917,36776,34303,7824,7675,8630,8506,9621,9220,9217,8854
"1997Q2",27147,27334,37363,37565,8432,8498,9348,9427,10352,10550,10002,10106
"1997Q3",28029,27754,38247,37992,8648,8278,9526,9117,10961,10633,10399,10083
