"12gr -- Palveluiden ulkomaankauppa alueittain ja palveluerittäin, vuosittain, 2013-2023"

"Alue","Tuonti, miljoonaa euroa S Palvelut 2023","Tuonti, miljoonaa euroa SA Tuotannolliset palvelut 2023","Tuonti, miljoonaa euroa SB Huolto- ja korjauspalvelut, muualla luokittelemattomat 2023","Tuonti, miljoonaa euroa SC Kuljetus 2023","Tuonti, miljoonaa euroa SD Matkailu 2023","Tuonti, miljoonaa euroa SE Rakentaminen 2023","Tuonti, miljoonaa euroa SF Vakuutus- ja eläkepalvelut 2023","Tuonti, miljoonaa euroa SG Rahoituspalvelut 2023","Tuonti, miljoonaa euroa SH Henkisen omaisuuden käytöstä perityt maksut, muualle luokittelemattomat 2023","Tuonti, miljoonaa euroa SI Televiestintä-, tietotekniikka- ja tietopalvelut 2023","Tuonti, miljoonaa euroa SJ Muut liike-elämän palvelut 2023","Tuonti, miljoonaa euroa SK Henkilökohtaiset, kulttuuri- ja virkistyspalvelut 2023","Tuonti, miljoonaa euroa SL Julkisyhteisöjen tuottamat tavarat ja tarjoamat palvelut, muualle luokittelemattomat 2023"
"Afganistan",0,.,.,.,.,.,.,.,.,.,.,.,.
"Alankomaat",2497,697,31,678,70,5,11,10,52,378,514,48,2
"Albania",7,.,.,.,.,.,.,.,.,.,.,.,.
"Algeria",8,.,.,.,.,.,.,.,.,.,.,.,.
"Amerikan Samoa",0,.,.,.,.,.,.,.,.,.,.,.,.
"Andorra",3,.,.,.,.,.,.,.,.,.,.,.,.
"Angola",0,.,.,.,.,.,.,.,.,.,.,.,.
"Anguilla",0,.,.,.,.,.,.,.,.,.,.,.,.
"Antarktis",0,.,.,.,.,.,.,.,.,.,.,.,.
"Antigua ja Barbuda",2,.,.,.,.,.,.,.,.,.,.,.,.
"Arabiemiirikunnat",330,.,.,.,.,.,.,.,.,.,.,.,.
"Argentiina",4,0,0,1,...,...,...,...,0,0,2,...,...
"Armenia",2,.,.,.,.,.,.,.,.,.,.,.,.
"Aruba",0,.,.,.,.,.,.,.,.,.,.,.,.
"Australia",156,3,1,19,71,0,2,0,1,22,37,0,...
"Azerbaidzan",3,.,.,.,.,.,.,.,.,.,.,.,.
"Bahama",0,.,.,.,.,.,.,.,.,.,.,.,.
"Bahrain",0,.,.,.,.,.,.,.,.,.,.,.,.
"Bangladesh",13,.,.,.,.,.,.,.,.,.,.,.,.
"Barbados",7,.,.,.,.,.,.,.,.,.,.,.,.
"Belgia",755,20,16,198,30,0,5,13,5,94,354,18,1
"Belize",0,.,.,.,.,.,.,.,.,.,.,.,.
"Benin",0,.,.,.,.,.,.,.,.,.,.,.,.
"Bermuda",5,.,.,.,.,.,.,.,.,.,.,.,.
"Bhutan",...,.,.,.,.,.,.,.,.,.,.,.,.
"Bolivia",1,.,.,.,.,.,.,.,.,.,.,.,.
"Bonaire, Sint Eustatius ja Saba",0,.,.,.,.,.,.,.,.,.,.,.,.
"Bosnia ja Hertsegovina",2,.,.,.,.,.,.,.,.,.,.,.,.
"Botswana",0,.,.,.,.,.,.,.,.,.,.,.,.
"Bouvet'nsaari",0,.,.,.,.,.,.,.,.,.,.,.,.
"Brasilia",98,...,0,51,10,0,2,0,...,3,23,0,...
"Brittiläinen Intian valtameren alue",0,.,.,.,.,.,.,.,.,.,.,.,.
"Brittiläiset Neitsytsaaret",0,.,.,.,.,.,.,.,.,.,.,.,.
"Brunei",0,.,.,.,.,.,.,.,.,.,.,.,.
"Bulgaria",75,...,...,13,21,...,...,...,0,9,29,...,...
"Burkina Faso",0,.,.,.,.,.,.,.,.,.,.,.,.
"Burundi",0,.,.,.,.,.,.,.,.,.,.,.,.
"Caymansaaret",0,.,.,.,.,.,.,.,.,.,.,.,.
"Chile",26,.,.,.,.,.,.,.,.,.,.,.,.
"Cookinsaaret",0,.,.,.,.,.,.,.,.,.,.,.,.
"Costa Rica",3,.,.,.,.,.,.,.,.,.,.,.,.
"Curaçao",2,.,.,.,.,.,.,.,.,.,.,.,.
"Djibouti",0,.,.,.,.,.,.,.,.,.,.,.,.
"Dominica",0,.,.,.,.,.,.,.,.,.,.,.,.
"Dominikaaninen tasavalta",11,.,.,.,.,.,.,.,.,.,.,.,.
"Ecuador",12,.,.,.,.,.,.,.,.,.,.,.,.
"Egypti",19,.,.,.,.,.,.,.,.,.,.,.,.
"El Salvador",0,.,.,.,.,.,.,.,.,.,.,.,.
"Eritrea",0,.,.,.,.,.,.,.,.,.,.,.,.
"Espanja",1123,44,8,106,750,0,5,5,1,52,138,13,0
"Etelä-Afrikka",51,1,0,10,27,...,1,...,0,4,8,...,...
"Etelä-Georgia ja Eteläiset Sandwichsaaret",...,.,.,.,.,.,.,.,.,.,.,.,.
"Etelä-Sudan",0,.,.,.,.,.,.,.,.,.,.,.,.
"Etiopia",7,.,.,.,.,.,.,.,.,.,.,.,.
"Falklandinsaaret",...,.,.,.,.,.,.,.,.,.,.,.,.
"Fidzi",0,.,.,.,.,.,.,.,.,.,.,.,.
"Filippiinit",41,.,.,.,.,.,.,.,.,.,.,.,.
"Färsaaret",1,.,.,.,.,.,.,.,.,.,.,.,.
"Gabon",0,.,.,.,.,.,.,.,.,.,.,.,.
"Gambia",1,.,.,.,.,.,.,.,.,.,.,.,.
"Georgia",10,.,.,.,.,.,.,.,.,.,.,.,.
"Ghana",0,.,.,.,.,.,.,.,.,.,.,.,.
"Gibraltar",2,.,.,.,.,.,.,.,.,.,.,.,.
"Grenada",0,.,.,.,.,.,.,.,.,.,.,.,.
"Grönlanti",0,.,.,.,.,.,.,.,.,.,.,.,.
"Guam",0,.,.,.,.,.,.,.,.,.,.,.,.
"Guatemala",2,.,.,.,.,.,.,.,.,.,.,.,.
"Guernsey",0,.,.,.,.,.,.,.,.,.,.,.,.
"Guinea",0,.,.,.,.,.,.,.,.,.,.,.,.
"Guinea-Bissau",0,.,.,.,.,.,.,.,.,.,.,.,.
"Guyana",...,.,.,.,.,.,.,.,.,.,.,.,.
"Haiti",0,.,.,.,.,.,.,.,.,.,.,.,.
"Heard ja McDonaldinsaaret",0,.,.,.,.,.,.,.,.,.,.,.,.
"Honduras",2,.,.,.,.,.,.,.,.,.,.,.,.
"Hongkong",109,1,4,12,10,...,0,0,0,5,76,0,...
"Indonesia",96,...,1,9,78,0,1,...,0,0,5,...,...
"Intia",1383,112,2,63,19,0,2,2,1,342,818,21,1
"Irak",6,.,.,.,.,.,.,.,.,.,.,.,.
"Iran",15,.,.,.,.,.,.,.,.,.,.,.,.
"Irlanti",2983,2,6,86,28,2,7,21,104,1196,1489,39,2
"Islanti",35,.,.,.,.,.,.,.,.,.,.,.,.
"Israel",82,.,.,.,.,.,.,.,.,.,.,.,.
"Italia",975,98,16,222,275,1,8,1,8,33,295,16,1
"Itä-Timor",...,.,.,.,.,.,.,.,.,.,.,.,.
"Itävalta",486,...,12,123,96,2,...,1,2,25,173,...,...
"Jamaika",0,.,.,.,.,.,.,.,.,.,.,.,.
"Japani",162,8,0,53,27,0,3,1,5,5,59,0,...
"Jemen",0,.,.,.,.,.,.,.,.,.,.,.,.
"Jersey",32,.,.,.,.,.,.,.,.,.,.,.,.
"Jordania",9,.,.,.,.,.,.,.,.,.,.,.,.
"Joulusaari",0,.,.,.,.,.,.,.,.,.,.,.,.
"Kambodza",6,.,.,.,.,.,.,.,.,.,.,.,.
"Kamerun",0,.,.,.,.,.,.,.,.,.,.,.,.
"Kanada",401,...,4,44,23,...,...,1,17,13,282,1,...
"Kap Verde",9,.,.,.,.,.,.,.,.,.,.,.,.
"Kazakstan",18,.,.,.,.,.,.,.,.,.,.,.,.
"Kenia",24,.,.,.,.,.,.,.,.,.,.,.,.
"Keski-Afrikan tasavalta",0,.,.,.,.,.,.,.,.,.,.,.,.
