"12gq -- Tavaroiden ja palveluiden ulkomaankauppa, neljännesvuosittain, 2013Q1-2024Q2"

"Alue","Tiedot","2013Q1 S Palvelut","2013Q2 S Palvelut","2013Q3 S Palvelut","2013Q4 S Palvelut","2014Q1 S Palvelut","2014Q2 S Palvelut","2014Q3 S Palvelut","2014Q4 S Palvelut","2015Q1 S Palvelut","2015Q2 S Palvelut","2015Q3 S Palvelut","2015Q4 S Palvelut","2016Q1 S Palvelut","2016Q2 S Palvelut","2016Q3 S Palvelut","2016Q4 S Palvelut","2017Q1 S Palvelut","2017Q2 S Palvelut","2017Q3 S Palvelut","2017Q4 S Palvelut","2018Q1 S Palvelut","2018Q2 S Palvelut","2018Q3 S Palvelut","2018Q4 S Palvelut","2019Q1 S Palvelut","2019Q2 S Palvelut","2019Q3 S Palvelut","2019Q4 S Palvelut","2020Q1 S Palvelut","2020Q2 S Palvelut","2020Q3 S Palvelut","2020Q4 S Palvelut","2021Q1 S Palvelut","2021Q2 S Palvelut","2021Q3 S Palvelut","2021Q4 S Palvelut","2022Q1 S Palvelut","2022Q2 S Palvelut","2022Q3 S Palvelut","2022Q4 S Palvelut","2023Q1 S Palvelut","2023Q2 S Palvelut","2023Q3 S Palvelut","2023Q4 S Palvelut","2024Q1 S Palvelut","2024Q2 S Palvelut"
"Ulkomaat yhteensä","Vienti, miljoonaa euroa",4450,4470,4944,5228,4592,4655,5121,5051,5316,5197,5390,5930,5697,5489,5639,6169,6031,6198,6176,7111,6346,6352,6705,7483,7077,7689,7781,8187,6874,5730,5721,7900,6013,6409,6857,9441,7279,7848,8167,9906,7924,7643,7713,8494,8171,8490
"Muut kuin EU-maat (27, 2020-)","Vienti, miljoonaa euroa",2456,2321,2590,2777,2383,2487,2868,2838,3053,2904,3016,3265,3235,3035,3166,3406,3273,3249,3253,3962,3226,3230,3433,3731,3555,3737,4000,4336,3500,2890,2774,4516,3055,3211,3608,5460,3691,3882,4216,5137,3846,3786,3764,3859,4029,4277
"Muut kuin EU-maat  (28, 2013-2020)","Vienti, miljoonaa euroa",2211,2086,2335,2492,2133,2235,2605,2544,2752,2613,2717,2896,2901,2733,2856,3037,2967,2944,2955,3588,2916,2940,3154,3370,3220,3397,3662,3931,3081,2661,2549,4263,2843,2992,3379,5120,3401,3581,3927,4723,3585,3508,3477,3506,3674,3956
"EU-maat (27, 2020-)","Vienti, miljoonaa euroa",1994,2149,2354,2451,2209,2168,2252,2213,2263,2293,2375,2665,2462,2455,2473,2763,2758,2949,2923,3150,3120,3122,3272,3752,3522,3952,3781,3851,3374,2840,2947,3385,2958,3198,3249,3981,3588,3966,3951,4769,4078,3857,3949,4635,4143,4212
"EU-maat (28, 2013-2020)","Vienti, miljoonaa euroa",2239,2384,2609,2735,2459,2420,2516,2507,2564,2583,2673,3035,2796,2756,2782,3132,3065,3254,3221,3523,3430,3412,3551,4112,3857,4292,4119,4256,3792,3070,3172,3637,3169,3417,3478,4321,3878,4267,4239,5183,4339,4135,4236,4988,4498,4534
"Euroalue (19, 2015-2022)","Vienti, miljoonaa euroa",1209,1296,1477,1509,1395,1234,1301,1256,1406,1390,1420,1580,1441,1402,1438,1660,1637,1748,1754,1919,1982,1910,1992,2357,2296,2624,2415,2436,2133,1662,1818,1970,1737,1937,1919,2367,2214,2393,2288,2856,2393,2230,2266,2798,2588,2578
"Muut maat kuin euroalue (19, 2015-2022)","Vienti, miljoonaa euroa",3241,3174,3466,3719,3197,3421,3820,3795,3910,3806,3970,4351,4255,4088,4201,4508,4394,4450,4422,5192,4363,4442,4713,5125,4781,5065,5365,5750,4740,4069,3903,5930,4276,4471,4938,7073,5065,5455,5879,7050,5531,5413,5447,5696,5583,5911
"Euroalue (20, 2023-)","Vienti, miljoonaa euroa",1210,1298,1479,1517,1401,1244,1313,1271,1407,1393,1423,1582,1444,1405,1441,1663,1646,1755,1759,1922,1984,1911,1994,2359,2300,2629,2422,2440,2136,1665,1823,1974,1742,1941,1923,2371,2218,2396,2292,2863,2398,2234,2271,2803,2593,2584
"Muut maat kuin euroalue (20, 2023-)","Vienti, miljoonaa euroa",3240,3172,3464,3711,3191,3411,3808,3780,3909,3804,3968,4348,4253,4085,4198,4506,4385,4443,4417,5189,4362,4440,4711,5123,4777,5060,5359,5747,4738,4066,3898,5926,4271,4468,4934,7069,5061,5452,5875,7044,5526,5409,5442,5690,5578,5906
"Eurooppa","Vienti, miljoonaa euroa",3078,3051,3372,3516,3244,3114,3229,3076,3271,3188,3401,3735,3462,3345,3442,3825,3799,3935,3949,4551,4224,4115,4314,4899,4710,5041,4991,5165,4586,3581,3699,4195,3726,4033,4111,5087,4537,4939,4999,5993,5077,4872,5003,5802,5270,5341
