"12gq -- Tavaroiden ja palveluiden ulkomaankauppa, neljännesvuosittain, 2013Q1-2024Q2"

"Tiedot","Palveluerä","Vuosineljännes","Ulkomaat yhteensä"
"Tuonti, miljoonaa euroa","S Palvelut","2013Q1",5670
"Tuonti, miljoonaa euroa","S Palvelut","2013Q2",5879
"Tuonti, miljoonaa euroa","S Palvelut","2013Q3",5654
"Tuonti, miljoonaa euroa","S Palvelut","2013Q4",6406
"Tuonti, miljoonaa euroa","S Palvelut","2014Q1",5486
"Tuonti, miljoonaa euroa","S Palvelut","2014Q2",5817
"Tuonti, miljoonaa euroa","S Palvelut","2014Q3",5743
"Tuonti, miljoonaa euroa","S Palvelut","2014Q4",6166
"Tuonti, miljoonaa euroa","S Palvelut","2015Q1",6081
"Tuonti, miljoonaa euroa","S Palvelut","2015Q2",6250
"Tuonti, miljoonaa euroa","S Palvelut","2015Q3",5858
"Tuonti, miljoonaa euroa","S Palvelut","2015Q4",6755
"Tuonti, miljoonaa euroa","S Palvelut","2016Q1",6111
"Tuonti, miljoonaa euroa","S Palvelut","2016Q2",6419
"Tuonti, miljoonaa euroa","S Palvelut","2016Q3",6281
"Tuonti, miljoonaa euroa","S Palvelut","2016Q4",6988
"Tuonti, miljoonaa euroa","S Palvelut","2017Q1",6379
"Tuonti, miljoonaa euroa","S Palvelut","2017Q2",6752
"Tuonti, miljoonaa euroa","S Palvelut","2017Q3",6572
"Tuonti, miljoonaa euroa","S Palvelut","2017Q4",7211
"Tuonti, miljoonaa euroa","S Palvelut","2018Q1",6955
"Tuonti, miljoonaa euroa","S Palvelut","2018Q2",7478
"Tuonti, miljoonaa euroa","S Palvelut","2018Q3",7309
"Tuonti, miljoonaa euroa","S Palvelut","2018Q4",8336
"Tuonti, miljoonaa euroa","S Palvelut","2019Q1",7927
"Tuonti, miljoonaa euroa","S Palvelut","2019Q2",8026
"Tuonti, miljoonaa euroa","S Palvelut","2019Q3",7903
"Tuonti, miljoonaa euroa","S Palvelut","2019Q4",8800
"Tuonti, miljoonaa euroa","S Palvelut","2020Q1",8083
"Tuonti, miljoonaa euroa","S Palvelut","2020Q2",6712
"Tuonti, miljoonaa euroa","S Palvelut","2020Q3",6564
"Tuonti, miljoonaa euroa","S Palvelut","2020Q4",7436
"Tuonti, miljoonaa euroa","S Palvelut","2021Q1",6819
"Tuonti, miljoonaa euroa","S Palvelut","2021Q2",7159
"Tuonti, miljoonaa euroa","S Palvelut","2021Q3",7594
"Tuonti, miljoonaa euroa","S Palvelut","2021Q4",9371
"Tuonti, miljoonaa euroa","S Palvelut","2022Q1",8452
"Tuonti, miljoonaa euroa","S Palvelut","2022Q2",9790
"Tuonti, miljoonaa euroa","S Palvelut","2022Q3",9891
"Tuonti, miljoonaa euroa","S Palvelut","2022Q4",11186
"Tuonti, miljoonaa euroa","S Palvelut","2023Q1",10130
"Tuonti, miljoonaa euroa","S Palvelut","2023Q2",10436
"Tuonti, miljoonaa euroa","S Palvelut","2023Q3",9875
"Tuonti, miljoonaa euroa","S Palvelut","2023Q4",11321
"Tuonti, miljoonaa euroa","S Palvelut","2024Q1",10163
"Tuonti, miljoonaa euroa","S Palvelut","2024Q2",10258
