"12gq -- Tavaroiden ja palveluiden ulkomaankauppa, neljännesvuosittain, 2013Q1-2024Q2"

"Tiedot","Palveluerä","Vuosineljännes","Ulkomaat yhteensä"
"Vienti, miljoonaa euroa","S Palvelut","2013Q1",4450
"Vienti, miljoonaa euroa","S Palvelut","2013Q2",4470
"Vienti, miljoonaa euroa","S Palvelut","2013Q3",4944
"Vienti, miljoonaa euroa","S Palvelut","2013Q4",5228
"Vienti, miljoonaa euroa","S Palvelut","2014Q1",4592
"Vienti, miljoonaa euroa","S Palvelut","2014Q2",4655
"Vienti, miljoonaa euroa","S Palvelut","2014Q3",5121
"Vienti, miljoonaa euroa","S Palvelut","2014Q4",5051
"Vienti, miljoonaa euroa","S Palvelut","2015Q1",5316
"Vienti, miljoonaa euroa","S Palvelut","2015Q2",5197
"Vienti, miljoonaa euroa","S Palvelut","2015Q3",5390
"Vienti, miljoonaa euroa","S Palvelut","2015Q4",5930
"Vienti, miljoonaa euroa","S Palvelut","2016Q1",5697
"Vienti, miljoonaa euroa","S Palvelut","2016Q2",5489
"Vienti, miljoonaa euroa","S Palvelut","2016Q3",5639
"Vienti, miljoonaa euroa","S Palvelut","2016Q4",6169
"Vienti, miljoonaa euroa","S Palvelut","2017Q1",6031
"Vienti, miljoonaa euroa","S Palvelut","2017Q2",6198
"Vienti, miljoonaa euroa","S Palvelut","2017Q3",6176
"Vienti, miljoonaa euroa","S Palvelut","2017Q4",7111
"Vienti, miljoonaa euroa","S Palvelut","2018Q1",6346
"Vienti, miljoonaa euroa","S Palvelut","2018Q2",6352
"Vienti, miljoonaa euroa","S Palvelut","2018Q3",6705
"Vienti, miljoonaa euroa","S Palvelut","2018Q4",7483
"Vienti, miljoonaa euroa","S Palvelut","2019Q1",7077
"Vienti, miljoonaa euroa","S Palvelut","2019Q2",7689
"Vienti, miljoonaa euroa","S Palvelut","2019Q3",7781
"Vienti, miljoonaa euroa","S Palvelut","2019Q4",8187
"Vienti, miljoonaa euroa","S Palvelut","2020Q1",6874
"Vienti, miljoonaa euroa","S Palvelut","2020Q2",5730
"Vienti, miljoonaa euroa","S Palvelut","2020Q3",5721
"Vienti, miljoonaa euroa","S Palvelut","2020Q4",7900
"Vienti, miljoonaa euroa","S Palvelut","2021Q1",6013
"Vienti, miljoonaa euroa","S Palvelut","2021Q2",6409
"Vienti, miljoonaa euroa","S Palvelut","2021Q3",6857
"Vienti, miljoonaa euroa","S Palvelut","2021Q4",9441
"Vienti, miljoonaa euroa","S Palvelut","2022Q1",7279
"Vienti, miljoonaa euroa","S Palvelut","2022Q2",7848
"Vienti, miljoonaa euroa","S Palvelut","2022Q3",8167
"Vienti, miljoonaa euroa","S Palvelut","2022Q4",9906
"Vienti, miljoonaa euroa","S Palvelut","2023Q1",7924
"Vienti, miljoonaa euroa","S Palvelut","2023Q2",7643
"Vienti, miljoonaa euroa","S Palvelut","2023Q3",7713
"Vienti, miljoonaa euroa","S Palvelut","2023Q4",8494
"Vienti, miljoonaa euroa","S Palvelut","2024Q1",8171
"Vienti, miljoonaa euroa","S Palvelut","2024Q2",8490
