"12gq -- Tavaroiden ja palveluiden ulkomaankauppa, neljännesvuosittain, 2013Q1-2024Q2"

"Alue","Tiedot","Vuosineljännes","S Palvelut","SA Tuotannolliset palvelut","SB Huolto- ja korjauspalvelut, muualla luokittelemattomat","SC Kuljetus","SD Matkailu","SE Rakentaminen","SF Vakuutus- ja eläkepalvelut","SG Rahoituspalvelut","SH Henkisen omaisuuden käytöstä perityt maksut, muualle luokittelemattomat","SI Televiestintä-, tietotekniikka- ja tietopalvelut","SJ Muut liike-elämän palvelut","SJ1 Tutkimus- ja kehityspalvelut","SJ2 Asiantuntijoiden ja liikehallinnon konsulttipalvelut","SJ3 Tekniset, kaupankäyntiin liittyvät ja muut liike-elämän palvelut","SK Henkilökohtaiset, kulttuuri- ja virkistyspalvelut","SL Julkisyhteisöjen tuottamat tavarat ja tarjoamat palvelut, muualle luokittelemattomat"
"Ulkomaat yhteensä","Tuonti, miljoonaa euroa","2013Q1",5670,175,48,1262,879,137,101,420,347,558,1644,579,443,622,93,6
"Ulkomaat yhteensä","Tuonti, miljoonaa euroa","2013Q2",5879,163,83,1245,1056,143,99,363,363,613,1658,570,426,662,86,6
"Ulkomaat yhteensä","Tuonti, miljoonaa euroa","2013Q3",5654,158,33,1256,1062,158,101,313,328,620,1546,553,432,561,73,6
"Ulkomaat yhteensä","Tuonti, miljoonaa euroa","2013Q4",6406,272,18,1267,992,140,101,359,405,701,2073,524,571,978,71,6
"Ulkomaat yhteensä","Tuonti, miljoonaa euroa","2014Q1",5486,148,57,1194,919,112,104,304,268,646,1632,474,453,705,96,6
"Ulkomaat yhteensä","Tuonti, miljoonaa euroa","2014Q2",5817,200,44,1297,1040,107,106,292,315,605,1710,473,553,684,96,6
"Ulkomaat yhteensä","Tuonti, miljoonaa euroa","2014Q3",5743,197,56,1242,1045,114,106,328,128,607,1822,545,575,703,91,6
"Ulkomaat yhteensä","Tuonti, miljoonaa euroa","2014Q4",6166,253,61,1319,988,148,106,345,168,700,1986,613,558,815,87,6
"Ulkomaat yhteensä","Tuonti, miljoonaa euroa","2015Q1",6081,271,61,1189,949,181,84,341,183,686,1984,464,497,1023,126,28
"Ulkomaat yhteensä","Tuonti, miljoonaa euroa","2015Q2",6250,243,58,1160,1139,163,83,328,184,722,2013,478,557,978,129,28
"Ulkomaat yhteensä","Tuonti, miljoonaa euroa","2015Q3",5858,266,35,1232,1141,169,83,268,206,569,1736,415,399,923,125,28
"Ulkomaat yhteensä","Tuonti, miljoonaa euroa","2015Q4",6755,319,32,1274,1096,202,85,330,177,788,2288,472,666,1150,135,28
"Ulkomaat yhteensä","Tuonti, miljoonaa euroa","2016Q1",6111,284,52,1172,982,128,95,300,178,738,2027,454,597,977,125,28
"Ulkomaat yhteensä","Tuonti, miljoonaa euroa","2016Q2",6419,289,52,1228,1152,166,96,336,241,729,1976,402,547,1027,126,28
"Ulkomaat yhteensä","Tuonti, miljoonaa euroa","2016Q3",6281,256,56,1232,1266,131,95,264,164,635,2029,443,599,988,125,28
"Ulkomaat yhteensä","Tuonti, miljoonaa euroa","2016Q4",6988,299,55,1308,1292,144,98,317,209,855,2248,423,592,1234,134,28
"Ulkomaat yhteensä","Tuonti, miljoonaa euroa","2017Q1",6379,306,57,1316,1012,131,91,209,207,863,2039,436,556,1047,141,9
"Ulkomaat yhteensä","Tuonti, miljoonaa euroa","2017Q2",6752,307,60,1363,1251,133,83,211,237,819,2133,447,553,1133,147,9
"Ulkomaat yhteensä","Tuonti, miljoonaa euroa","2017Q3",6572,342,47,1365,1378,130,78,194,186,739,1958,424,477,1057,147,9
"Ulkomaat yhteensä","Tuonti, miljoonaa euroa","2017Q4",7211,389,50,1420,1304,134,80,195,274,904,2296,464,615,1217,157,9
"Ulkomaat yhteensä","Tuonti, miljoonaa euroa","2018Q1",6955,395,56,1480,1063,116,119,190,255,871,2240,459,617,1165,162,9
"Ulkomaat yhteensä","Tuonti, miljoonaa euroa","2018Q2",7478,406,57,1530,1383,113,120,192,208,1000,2297,407,666,1225,163,9
"Ulkomaat yhteensä","Tuonti, miljoonaa euroa","2018Q3",7309,395,60,1542,1404,113,119,187,192,838,2288,402,636,1251,161,9
"Ulkomaat yhteensä","Tuonti, miljoonaa euroa","2018Q4",8336,461,69,1604,1301,123,121,270,247,999,2961,595,826,1540,171,9
"Ulkomaat yhteensä","Tuonti, miljoonaa euroa","2019Q1",7927,419,62,1503,1079,106,75,262,218,1099,2926,857,792,1276,170,9
"Ulkomaat yhteensä","Tuonti, miljoonaa euroa","2019Q2",8026,396,55,1561,1280,108,77,279,198,1039,2845,819,746,1279,179,9
"Ulkomaat yhteensä","Tuonti, miljoonaa euroa","2019Q3",7903,376,57,1545,1409,112,77,271,193,921,2756,833,714,1209,178,9
"Ulkomaat yhteensä","Tuonti, miljoonaa euroa","2019Q4",8800,558,66,1500,1307,120,76,288,285,1207,3197,828,926,1442,188,9
"Ulkomaat yhteensä","Tuonti, miljoonaa euroa","2020Q1",8083,520,65,1356,996,87,103,280,243,1245,2989,871,760,1358,190,9
"Ulkomaat yhteensä","Tuonti, miljoonaa euroa","2020Q2",6712,444,60,1181,101,92,98,308,250,1176,2812,724,733,1354,182,9
"Ulkomaat yhteensä","Tuonti, miljoonaa euroa","2020Q3",6564,445,57,1220,252,71,102,287,227,1020,2696,763,665,1267,178,9
"Ulkomaat yhteensä","Tuonti, miljoonaa euroa","2020Q4",7436,586,69,1306,119,73,102,307,336,1302,3027,729,855,1442,201,9
"Ulkomaat yhteensä","Tuonti, miljoonaa euroa","2021Q1",6819,493,99,1208,61,78,121,274,208,1230,2857,808,789,1261,181,9
"Ulkomaat yhteensä","Tuonti, miljoonaa euroa","2021Q2",7159,517,70,1377,123,90,125,281,249,1154,2987,796,866,1325,176,9
"Ulkomaat yhteensä","Tuonti, miljoonaa euroa","2021Q3",7594,547,115,1500,438,80,127,277,176,1063,3084,783,887,1414,179,9
"Ulkomaat yhteensä","Tuonti, miljoonaa euroa","2021Q4",9371,801,165,1702,565,68,135,285,308,1346,3789,825,1129,1836,199,9
"Ulkomaat yhteensä","Tuonti, miljoonaa euroa","2022Q1",8452,625,136,1685,595,65,116,277,189,1342,3208,853,939,1415,206,9
"Ulkomaat yhteensä","Tuonti, miljoonaa euroa","2022Q2",9790,678,117,1907,1114,70,123,285,279,1354,3638,1020,1030,1587,215,9
"Ulkomaat yhteensä","Tuonti, miljoonaa euroa","2022Q3",9891,736,125,2019,1211,71,124,243,201,1267,3660,978,954,1728,225,9
"Ulkomaat yhteensä","Tuonti, miljoonaa euroa","2022Q4",11186,926,141,2030,1238,70,123,331,274,1471,4331,1047,1161,2124,242,9
"Ulkomaat yhteensä","Tuonti, miljoonaa euroa","2023Q1",10130,724,148,1799,1059,66,146,261,186,1586,3949,1042,1020,1887,197,9
"Ulkomaat yhteensä","Tuonti, miljoonaa euroa","2023Q2",10436,726,145,1794,1579,72,145,233,243,1411,3867,977,1001,1889,213,9
"Ulkomaat yhteensä","Tuonti, miljoonaa euroa","2023Q3",9875,647,126,1722,1480,75,142,237,216,1309,3691,925,1010,1756,220,9
"Ulkomaat yhteensä","Tuonti, miljoonaa euroa","2023Q4",11321,765,167,1792,1246,81,144,266,268,1663,4697,1435,1227,2036,221,9
"Ulkomaat yhteensä","Tuonti, miljoonaa euroa","2024Q1",10163,771,134,1682,1369,69,139,307,216,1603,3656,918,1063,1675,207,9
"Ulkomaat yhteensä","Tuonti, miljoonaa euroa","2024Q2",10258,576,140,1744,1559,76,143,284,233,1519,3769,775,1191,1803,206,9
