"12gq -- Tavaroiden ja palveluiden ulkomaankauppa, neljännesvuosittain, 2013Q1-2024Q2"

"Alue","Tiedot","Vuosineljännes","S Palvelut","SA Tuotannolliset palvelut","SB Huolto- ja korjauspalvelut, muualla luokittelemattomat","SC Kuljetus","SD Matkailu","SE Rakentaminen","SF Vakuutus- ja eläkepalvelut","SG Rahoituspalvelut","SH Henkisen omaisuuden käytöstä perityt maksut, muualle luokittelemattomat","SI Televiestintä-, tietotekniikka- ja tietopalvelut","SJ Muut liike-elämän palvelut","SJ1 Tutkimus- ja kehityspalvelut","SJ2 Asiantuntijoiden ja liikehallinnon konsulttipalvelut","SJ3 Tekniset, kaupankäyntiin liittyvät ja muut liike-elämän palvelut","SK Henkilökohtaiset, kulttuuri- ja virkistyspalvelut","SL Julkisyhteisöjen tuottamat tavarat ja tarjoamat palvelut, muualle luokittelemattomat"
"Ulkomaat yhteensä","Vienti, miljoonaa euroa","2013Q1",4450,199,23,543,716,90,21,81,563,1264,923,222,152,549,6,21
"Ulkomaat yhteensä","Vienti, miljoonaa euroa","2013Q2",4470,222,32,609,714,95,21,80,700,1095,874,133,152,589,5,23
"Ulkomaat yhteensä","Vienti, miljoonaa euroa","2013Q3",4944,249,28,689,926,86,21,57,663,1346,851,137,141,573,3,25
"Ulkomaat yhteensä","Vienti, miljoonaa euroa","2013Q4",5228,337,25,551,688,134,21,102,733,1517,1073,138,183,751,20,28
"Ulkomaat yhteensä","Vienti, miljoonaa euroa","2014Q1",4592,251,20,590,728,63,10,75,593,1435,794,94,233,466,13,21
"Ulkomaat yhteensä","Vienti, miljoonaa euroa","2014Q2",4655,263,121,656,608,109,10,86,346,1545,877,99,205,573,12,23
"Ulkomaat yhteensä","Vienti, miljoonaa euroa","2014Q3",5121,239,34,721,863,90,10,76,476,1723,857,102,196,558,8,24
"Ulkomaat yhteensä","Vienti, miljoonaa euroa","2014Q4",5051,279,27,599,546,103,10,80,564,1836,970,114,223,633,11,27
"Ulkomaat yhteensä","Vienti, miljoonaa euroa","2015Q1",5316,288,43,714,555,60,17,95,588,2002,919,129,292,499,13,23
"Ulkomaat yhteensä","Vienti, miljoonaa euroa","2015Q2",5197,322,37,796,518,95,17,90,414,1895,972,119,295,558,18,23
"Ulkomaat yhteensä","Vienti, miljoonaa euroa","2015Q3",5390,315,62,923,760,107,17,78,493,1661,938,100,273,565,11,24
"Ulkomaat yhteensä","Vienti, miljoonaa euroa","2015Q4",5930,441,72,718,485,132,17,87,719,1995,1220,125,351,744,18,26
"Ulkomaat yhteensä","Vienti, miljoonaa euroa","2016Q1",5697,333,71,754,564,58,28,93,632,1973,1148,120,321,707,14,28
"Ulkomaat yhteensä","Vienti, miljoonaa euroa","2016Q2",5489,296,73,834,515,44,28,88,621,1763,1183,143,315,725,15,29
"Ulkomaat yhteensä","Vienti, miljoonaa euroa","2016Q3",5639,284,79,869,778,52,28,86,734,1494,1194,136,294,764,11,30
"Ulkomaat yhteensä","Vienti, miljoonaa euroa","2016Q4",6169,344,93,841,535,73,28,78,754,1972,1410,147,403,861,9,30
