"12gr -- Palveluiden ulkomaankauppa alueittain ja palveluerittäin, vuosittain, 2013-2023"

"Alue","Tiedot","Vuosi","S Palvelut","SA Tuotannolliset palvelut","SB Huolto- ja korjauspalvelut, muualla luokittelemattomat","SC Kuljetus","SC1 Meriliikenne","SC2 Ilmaliikenne","SC3 Muut liikennemuodot","SC4 Posti- ja kuriiripalvelut","SD Matkailu","SE Rakentaminen","SF Vakuutus- ja eläkepalvelut","SG Rahoituspalvelut","SG1 Rahoituspalvelut joista peritään maksu sekä muut rahoituspalvelut","SG2 Välilliset rahoituspalvelut (FISIM)","SH Henkisen omaisuuden käytöstä perityt maksut, muualle luokittelemattomat","SH1 Franchise- ja tavaramerkkien lisensiointimaksut","SH2 Tutkimus- ja kehittämistoiminnan tulosten käyttölisenssit","SH3 Tietokoneohjelmien jäljentämiseen ja jakeluun liittyvät lisenssit","SH4 Audiovisuaalisten ja niihin liittyvien tuotteiden jäljennys- ja/tai jakelulisenssi","SH41 Audiovisuaalisten tuotteiden jäljennys- ja/tai jakelulisenssi","SH42 Muiden tuotteiden jäljentämis- ja/tai jakelulisenssi","SI Televiestintä-, tietotekniikka- ja tietopalvelut","SI1 Televiestintäpalvelut","SI2 Tietojenkäsittelypalvelut","SI21 Tietokoneohjelmistot","SI22 Muut tietojenkäsittelypalvelut","SI3 Tietopalvelut","SI31 Uutistoimistopalvelut","SI32 Muut tietopalvelut","SJ Muut liike-elämän palvelut","SJ1 Tutkimus- ja kehityspalvelut","SJ11 Järjestelmällinen työ osaamisen lisäämiseksi","SJ111 Asiakkaan tilaamien ja muiden tutkimus- ja kehityspalvelujen tuottaminen","SJ112 Tutkimukseen ja kehittämiseen perustuvien omistusoikeuksien myynti","SJ12 Muut tutkimus- ja kehityspalvelut","SJ2 Asiantuntijoiden ja liikehallinnon konsulttipalvelut","SJ21 Lakiasiain-, laskentatoimen, liikkeenjohdon konsultointi- ja suhdetoimintapalvelut","SJ211 Lakiasiainpalvelut","SJ212 Laskentatoimen, tilintarkastus-, kirjanpito- ja veroneuvontapalvelut","SJ213 Yritys- ja liikkeenjohdon konsultointi- ja suhdetoimintapalvelut","SJ22 Mainonta, markkinatutkimus ja mielipidetutkimukset","SJ3 Tekniset, kaupankäyntiin liittyvät ja muut liike-elämän palvelut","SJ31 Arkkitehti-, insinööri-, tieteelliset ja muut tekniset palvelut","SJ311 Arkkitehtipalvelut","SJ312 Insinööripalvelut","SJ313 Tieteelliset ja muut tekniset palvelut","SJ32 Maatalouden, kaivostoiminnan ja muun paikalla tapahtuvan jalostuksen palvelut","SJ321 Jätteiden käsittely ja puhdistuspalvelut, maatalouden ja kaivostoiminnan palvelut","SJ33 Käyttöleasingpalvelut","SJ34 Kaupankäyntiin liittyvät palvelut","SJ35 Muualla luokittelemattomat muut liike-elämän palvelut","SK Henkilökohtaiset, kulttuuri- ja virkistyspalvelut","SK1 Audiovisuaaliset ja niihin liittyvät palvelut","SK11 Audiovisuaaliset palvelut","SK12 Taiteisiin liittyvät palvelut","SK2 Muut henkilökohtaiset, kulttuuri- ja virkistyspalvelut","SK21 Terveyspalvelut","SK22 Koulutuspalvelut","SK23 Kulttuuriperintö- ja virkistyspalvelut","SK24 Muut henkilökohtaiset palvelut","SL Julkisyhteisöjen tuottamat tavarat ja tarjoamat palvelut, muualle luokittelemattomat"
"Yhdysvallat (USA)","Vienti, miljoonaa euroa","2013",1618,23,4,57,4,51,...,2,103,27,4,2,1,1,636,104,519,8,5,.,.,407,2,401,.,.,4,.,.,342,124,.,.,.,.,41,.,.,.,.,.,176,.,.,.,.,.,.,.,.,.,1,0,.,.,1,.,.,.,.,14
"Yhdysvallat (USA)","Vienti, miljoonaa euroa","2014",1989,8,9,45,1,43,...,2,109,8,1,3,2,1,521,64,439,16,1,.,.,942,3,934,.,.,5,.,.,328,88,.,.,.,.,78,.,.,.,.,.,162,.,.,.,.,.,.,.,.,.,0,...,.,.,0,.,.,.,.,14
"Yhdysvallat (USA)","Vienti, miljoonaa euroa","2015",2480,12,17,77,18,54,3,2,121,13,4,10,3,7,645,73,565,5,2,.,.,1092,3,1073,.,.,16,.,.,461,123,.,.,.,.,146,.,.,.,.,.,193,.,.,.,.,.,.,.,.,.,2,0,.,.,1,.,.,.,.,26
"Yhdysvallat (USA)","Vienti, miljoonaa euroa","2016",2730,13,22,88,19,61,3,4,137,3,6,11,2,8,879,81,764,15,20,.,.,1047,2,1040,.,.,4,.,.,493,104,.,.,.,.,175,.,.,.,.,.,214,.,.,.,.,.,.,.,.,.,1,0,.,.,1,.,.,.,.,32
"Yhdysvallat (USA)","Vienti, miljoonaa euroa","2017",2541,10,32,104,19,80,2,2,170,...,4,8,3,5,690,70,589,17,14,.,.,984,2,964,.,.,18,.,.,472,104,.,.,.,.,165,.,.,.,.,.,204,.,.,.,.,.,.,.,.,.,43,...,.,.,...,.,.,.,.,14
"Yhdysvallat (USA)","Vienti, miljoonaa euroa","2018",2986,15,67,129,30,96,1,2,165,...,8,32,25,8,1031,59,...,19,...,.,.,947,2,930,.,.,14,.,.,537,109,.,.,.,.,229,.,.,.,.,.,199,.,.,.,.,.,.,.,.,.,24,...,.,.,...,.,.,.,.,14
"Yhdysvallat (USA)","Vienti, miljoonaa euroa","2019",3437,46,44,146,21,121,2,2,180,3,4,22,9,13,921,93,806,17,5,.,.,1518,3,1499,.,.,16,.,.,522,163,.,.,.,.,179,.,.,.,.,.,180,.,.,.,.,.,.,.,.,.,17,14,.,.,2,.,.,.,.,14
"Yhdysvallat (USA)","Vienti, miljoonaa euroa","2020",4388,28,37,59,26,29,2,2,50,2,3,23,10,13,660,80,556,16,8,.,.,3000,3,2984,.,.,14,.,.,489,175,.,.,.,.,135,.,.,.,.,.,179,.,.,.,.,.,.,.,.,.,20,18,.,.,2,.,.,.,.,16
"Yhdysvallat (USA)","Vienti, miljoonaa euroa","2021",5898,36,56,96,37,55,2,1,54,0,3,15,10,5,781,88,665,26,1,.,.,4353,4,4348,.,.,1,.,.,485,144,.,.,.,.,152,.,.,.,.,.,189,.,.,.,.,.,.,.,.,.,3,2,.,.,1,.,.,.,.,16
"Yhdysvallat (USA)","Vienti, miljoonaa euroa","2022",6638,42,104,235,37,188,2,8,158,1,1,18,12,7,1002,127,843,31,0,.,.,4204,5,4195,.,.,4,.,.,847,431,.,.,.,.,194,.,.,.,.,.,223,.,.,.,.,.,.,.,.,.,10,5,.,.,5,.,.,.,.,16
"Yhdysvallat (USA)","Vienti, miljoonaa euroa","2023",4859,56,81,235,73,152,1,8,224,0,1,26,21,5,716,118,565,32,0,.,.,2763,6,2753,.,.,4,.,.,726,250,.,.,.,.,205,.,.,.,.,.,271,.,.,.,.,.,.,.,.,.,16,11,.,.,5,.,.,.,.,16
